id,Category,Title,Description,Text,Photo,Year,Director,Trailer,Awards,Title_ru,Text_ru,Director_ru,Awards_ru
21,Animation,The boy and the genie,G. Kystauov. 1974,"A film about Gene, the hero of many fairy tales, about his adventures, and touching friendship with a boy.",https://static.tildacdn.com/stor3536-3965-4563-a535-663337373164/36961862.jpg,1974,G. Kystauov,,,Мальчик и джин,"Фильм о Джине, герое многих сказок, о его приключениях, трогательной дружбе с мальчиком.",Г. Кыстауов,
22,Animation,Cosmic adventures of the genie,G. Kystauov. 1975,A film about the adventures of a good-natured and naive Genie.,https://static.tildacdn.com/tild3633-3331-4938-a233-643964356530/__2022-09-26__172616.png,1975,G. Kystauov,,,Космические приключения джина,Фильм о приключении добродушного и наивного Джина,Г. Кыстауов,
23,Animation,Wisdom and wealth,A. Junusov. 1977,"One day, Wealth and Wisdom argued about which of them is more necessary for a person to be happy. Having experienced the poor boy Tazshu, Wealth was convinced that Wisdom is above all riches.",https://static.tildacdn.com/stor3233-6531-4433-b138-393435366430/85188131.png,1977,A. Junusov,,,Мудрость и богатство,"Однажды Богатство Мудрость поспорили о том, кто из них нужнее человеку для счастья. Испытав бедного мальчика Тазшу, убедилось Богатство, что Мудрость превыше всех богатств.",А. Джунусов,
24,Animation,The Mole and the Hare,B. Omarov. 1978,About the mole and the hare and their friendship.,https://static.tildacdn.com/stor6636-6464-4164-b764-386637333138/91688886.png,1978,B. Omarov,,,Крот и заяц,Про крота и зайца и их дружбу,Б. Омаров,
25,Animation,On the hill,G. Kystauov. 1978,"About the friendship of the good Badger with the prickly, grouchy Hedgehog.",https://static.tildacdn.com/stor3536-3965-4563-a535-663337373164/36961862.jpg,1978,G. Kystauov,,,На пригорке,"О дружбе доброго Барсука с колючим, ворчливым Ежом.",Г. Кыстауов,
26,Animation,Forty Tales,A. Khaidarov. 1978,"A puppet film about a poor shepherd, Tazshebal, who defeated the cruel khan with his intelligence and ingenuity.",https://static.tildacdn.com/stor6433-3835-4964-a165-663865663236/66138821.png,1978,A. Khaidarov,,,Сорок небылиц,"Кукольный фильм о бедном пастухе, Тазше- бале, умом и смекалкой победившем жестокого хана.",А. Хайдаров,
27,Animation,A wonderful friendship,E. Abdrakhmanov. 1979,About unlikely friendship and loyalty,https://static.tildacdn.com/stor3537-3563-4262-a132-393865343637/10161490.png,1979,E. Abdrakhmanov,,,Удивительная дружба,"Про невероятную дружбу, и верность",Е. Абдрахманов,
28,Animation,Kanbak Shal,B. Omarov. 1979,About a boy who was introduced by the fabulous old man Kanbak-shal to a fascinating and interesting land of fairy tales,https://static.tildacdn.com/stor3536-3965-4563-a535-663337373164/36961862.jpg,1979,B. Omarov,,,Канбак-шал,"О мальчике, которого сказочный старик Канбак-шал познакомил с увлекательной и интересной страной сказок",Б. Омаров,
29,Animation,Little bear,D. Kusainov. 1979,About the friendship of a little figure skater girl with a bear cub.,https://static.tildacdn.com/stor3536-3965-4563-a535-663337373164/36961862.jpg,1979,D. Kusainov,,,Медвежонок,О дружбе маленькой девочки-фигуристки с медвежонком.,Д. Кусайнов,
30,Animation,Bunny with glasses,E. Abdrakhmanov. 1980,"Based on a poem by K. Bayanbaev. About a cowardly bunny who, wearing magic glasses through which the world appears in a crazy way, imagined that he was the strongest.",https://static.tildacdn.com/tild3366-3663-4234-a537-313136323766/Y09wg6Yi_p7R03lsc_Cn.jpeg,1980,E. Abdrakhmanov,,,Зайчик в очках,"По мотивам стихотворения К.Баянбаева.О трусливом зайчишке, который надев волшебные очки, через которые мир представляется в мепьшенном виде, вообразил, что он самый сильный.",Е. Абдрахманов,
31,Animation,Adventure in the City of Dreams,A. Abilkasimov. 1980,About what adventures happen in a dream ...,https://static.tildacdn.com/stor6265-6338-4138-a335-393135393462/89673832.png,1980,A. Abilkasimov,,,Приключение в городе снов,"О том, какие приключения бывает во сне…",А. Абилкасимов,
32,Animation,Gift,G. Kystauov. 1980,The film for the little ones is about the fact that friendship is the most beautiful human feeling.,https://static.tildacdn.com/stor6631-6364-4430-a365-373434623230/84587760.png,1980,G. Kystauov,,,Подорок,"Фильм для самых маленьких о том, что дружба - самое прекрасное человеческое чувство.",Г.Кыстауов,
33,Animation,Badger and moon,"G. Kistauov, J. Danenov. 1981",A fairy tale about a little badger who has been looking for a birthday present for his mother for a long time.,https://static.tildacdn.com/stor6138-6265-4861-a130-363539363465/33484305.png,1981,"G. Kistauov, J. Danenov",,,Барсук и луна,"Сказка о маленьком барсучке, который долго искал подарок маме ко дню рождения.","Г.Кыстауов, Ж.Даненов",
34,Animation,Inheritance,K. Seidanov. 1981,"One wealthy shepherd left 17 rams as a legacy to his three sons. The brothers cannot divide them among themselves, because they do not know how to read and write. A kind old man speaks them out ...",https://static.tildacdn.com/tild3161-3133-4839-b038-663038653033/maxresdefault.jpeg,1981,K. Seidanov,,,Еншы,"У одного зажиточного чабана осталось в наследство трем сыновьям 17 баранов. Братья не могут разделить их между собой, потому что не знают грамоты.Их вырцчает добрый старик…",К. Сейданов,
35,Animation,How the lamb and the jerboa looked for good,E. Abdrakhmanov. 1981,"The jerboa, following the example of the lamb, sought goodness and found it in good deeds and loyal friends.",https://static.tildacdn.com/tild3634-3031-4662-b766-613665363264/__2022-09-01__162428.png,1981,E. Abdrakhmanov,,,Как барашек и тушканчик добро искали,Тушканчик по примеру барашка искал добро и нашел его в добрых поступках и преданных друзей.,Е. Абдрахманов,
36,Animation,Three masters,B. Omarov. 1981,"Based on oriental tales. Three master wood carvers, a tailor and a jeweler performed a miracle: they created a girl from an ordinary log, who came to life from their art.",https://static.tildacdn.com/tild3461-6136-4233-b964-376233653730/__2022-09-01__162553.png,1981,B. Omarov,,,Три мастера,"По мотивам восточных сказок.Три мастера-резчик по дереву, портной и ювелир-совершили чудо: создали из обыкновенного полена девушку, кторая ожила от их исскуства.",Б. Омаров,
37,Animation,Three tankers,B. Omarov. 1981,"About the courage and resourcefulness of three tankers of different nationalities, who, having shown unity, protected the girl from the wolf.",https://static.tildacdn.com/stor3366-6165-4736-a161-373033633431/81870768.png,1981,B. Omarov,,,Три танкиста,"О мужестве и находчивости трех танкистов разных национальностей, которые проявив сплоченность, защитили девочку от волка.",Б. Омаров,
38,Animation,White cat,A. Abilkasimov. 1982,"A fabulous white cat, traveling through a modern city, finds true friends - children",https://static.tildacdn.com/tild3238-3166-4062-a436-313935663161/__2022-09-01__162837.png,1982,A. Abilkasimov,,,Белый кот,"Сказочный белый кот, путешествуя по современному городу, находит истинных друзей - детей.",А. Абилкасимов,
39,Animation,Jean - assistant,"Zh. Danenov, G. Kistauov. 1982","A fairy tale story about a boy who, with the help of a genie, wanted to do good. But it turned out that no miracles can replace a person capable of good and kind deeds.",https://static.tildacdn.com/stor3263-3966-4165-a161-356239366539/30734095.png,1982,"Zh. Danenov, G. Kistauov",,,Джин – помощник,"Сказочная история о мальчике, который с помощью джинна хотел творить добро. Но оказа­лось, что никакие чудеса не могут заменить человека, способного на хорошие и добрые дела.","Ж. Даненов, Г. Кистауов",
40,Animation,A bird's wings,G. Emelyanov. 1982,"Based on O. Aubaknrov's play ""Skin and Sport"". If you want to achieve something - fight, and above all with your own laziness. This is the idea of this hilarious puppet film about a boy Kozhabek who wanted to become a boxing champion with the help of ""dope-popping"", but deservedly failed.",https://static.tildacdn.com/stor3966-3561-4633-b561-343733326336/11933586.png,1982,G. Emelyanov,,,Птичьи крылья,"По мотивам пьесы О.Аубакнрова ""Кожа и спорт"". Если хочешь чего-то добиться — борись, и прежде всего с собственной ленью. Такова идея этого веселого кукольного фильма о мальчике Кожабеке, который хотел стать чемпионом по боксу с помо¬щью ""допинга-поппинга""",Г. Емельянов,
41,Animation,The Tale of the Girl Kunim,E. Abdrakhmanov. 1982,"About the girl Kunim, who managed to re-educate the sorceress and her son.",https://static.tildacdn.com/tild6533-3338-4330-b138-666462626533/videoPreview.jpg,1982,E. Abdrakhmanov,,,Сказка о девочке Куным,"О девочке Куным, которая сумела перевоспитать колдунью и ее сына.",Е. Абдрахманов,
42,Animation,Who's afraid of the dark,E. Abdrakhmanov. 1983,"A lyrical story about the Lamb, who, with the help of his friend Jerboa, overcame fear, choking at night in search of a magical flower, as if relieving fears, the Lamb becomes stronger and braver.",https://static.tildacdn.com/stor3034-6634-4164-b534-386337363433/98798475.png,1983,E. Abdrakhmanov,,,Кто боится темноты,"Лирическая история о Барашке, который с помощью своего друга Тушканчика преодолел страх, давившись ночью на поиски волшебного цветка, будто бы избавляющего от страхов, Барашек ста¬вится сильнее и храбрее.",Е. Абдрахманов,
43,Animation,About shoemaker,D. Kusainov. 1983,"About a resourceful shoemaker who managed to sew ""flying"" boots for the khan.",https://static.tildacdn.com/stor3865-3733-4934-b265-333565636234/50221267.png,1983,D. Kusainov,,,Про сапожника,"О находчивом сапожнике, сумевшем сшить для хана ""летучие"" сапоги.",Д. Кусайнов,
44,Animation,Invitation to play,K. Kurepyld. 1984,"The story of a small chess pawn who, in the name of love for her king, saved an almost lost game and managed to win.",https://static.tildacdn.com/stor3436-3233-4061-a633-333266323863/22058562.png,1984,K. Kurepyld,,,Приглашение к игре,"История маленькой шахматной пешки, которая во имя любви к своему королю спасла почти проигранную партию и сумела добиться победы.",К. Курепыльд,
45,Animation,Arrow flight,A. Abilkasymov. 1984,"A parable about the eternal dispute between Good and Evil, about the spiritual beauty of a person, his desire for peace and the ability to thereby resist the deadly thoughts of dark forces.",https://static.tildacdn.com/stor3931-3863-4362-b666-306530616532/55668425.png,1984,A. Abilkasymov,,,Полет стрелы,"Притча об извечном споре Добра и зла, о душевной красоте человека, его стремлении к миру и способности тем самым противостоять смертоносным помыслам темных сил.",А. Абилькасымов,
46,Animation,Lotus,S. Musina. 1984,"Based on a Korean fairy tale about a young man who overcame temptation and did not give up his heart. . to love, for immortality.",https://static.tildacdn.com/stor3536-3965-4563-a535-663337373164/36961862.jpg,1984,S. Musina,,,Лотос,"По мотивам корейской сказки о юноше, который преодолел искушение и не отдал свое сердце. . сооное любить, за бессмертие.",Ш. Мусина,
47,Animation,Chick,L. Aranysheva. 1984,"When and where it was is unknown. Only once, at dawn, a chicken, barely born, called his mother - the sun. And since then, he began to dream about how he would rise to his mother. Will he be able to fulfill his dream?",https://static.tildacdn.com/stor6433-3038-4532-a237-386334383061/49397774.png,1984,L. Aranysheva,,,Цыпленок,"Когда и где это было - неизвестно. Только однажды на рассвете цыпленок, едва появившись на свет, назвал своей мамой — солнце. И с тех пор он стал мечтать о том, как бы ему подняться к маме. Удастся ли ему осуществить мечту?...",Л. Аранышева,
48,Animation,Golden sheep,T. Mukanova. 1985,About a little girl who helped the Mistress of the Sky to look for her lambs - clouds.,https://static.tildacdn.com/stor6436-3232-4661-b635-306463333163/46876220.png,1985,T. Mukanova,,,Золотая овечка,"О маленькой девочке, которая помогала Хозяйке Неба разыскивать ее овечек — облака.",Т. Муканова,
49,Animation,About the tiger cub who wasn't afraid of anything,A. Tokshabaev. 1985,"About a little inquisitive tiger cub who was not afraid of anything, but nevertheless once felt fear for his little and defenseless friend - a titmouse.",https://static.tildacdn.com/stor3537-6665-4863-b831-643331323434/92404169.png,1985,A. Tokshabaev,,,"Про тигренка, который ничего не боялся","О маленьком любознательном тигренке, который ничего не боялся, но все же однажды испытал страх за своего маленького и беззащитного друга — синичку.",А. Токшабаев,
50,Animation,Where to look for sleep?,S. Aralbaev. 1986,"This simple, uncomplicated story about how one day a boy with his grandfather was looking for a ""lost dream somewhere"" gradually leads the child to the idea of the need for work, helping the elders.",https://static.tildacdn.com/tild6435-3932-4537-b139-656633323264/gde_iskat_son.jpeg,1986,S. Aralbaev,,,Где искать сон?,"Эта простая незамысловатая история о том , как однажды мальчик со своим дедом искал ""зате¬рявшийся где-то сон"", исподволь подводит ребенка к мысли о необходимости труда, помощи старшим.",С. Аралбаев,
51,Animation,Lark,E. Abdrakhmanov. 1986,The story of a family in which the legend of the batyrs-defenders of their native land is closely intertwined with the real events of the past war.,https://static.tildacdn.com/stor3735-3866-4435-b031-383133316462/44149094.png,1986,E. Abdrakhmanov,,,Жаворонок,"История семьи, в которой легенда о батырах-защитниках родной земли тесно переплелась с реальными событиями минувшей войны.",Е. Абдрахманов,
52,Animation,Kanbak shal and giant,A. Abilkasimov. 1986,Based on the Kazakh folk tale about the funny adventures of the cunning hero Kanbak,https://static.tildacdn.com/stor3333-3762-4364-b464-306138343064/62192792.png,1986,A. Abilkasimov,,,Канбак шал и великан,По мотивам казахской народной сказки о веселых приключениях хитроумного героя Канбак.,А. Абилкасимов,
53,Animation,Whose ears are better?,E. Aralbaev. 1987,"This is a story about how once the Hare and the Donkey - playful, but cute - started an argument about whose ears are really better.",https://static.tildacdn.com/stor3164-3736-4235-a562-363165363630/28225461.png,1987,E. Aralbaev,,,Чьи уши лучше?,"Это рассказ о том, как однажды Зайчонок и Ослик - шаловливые, но симпатичные — затеяли спор о том, чьи уши в самом деле лучше.",Е. Аралбаев,
